SACC code,Country of birth,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Territory
1101,Australia,47290,50150,52920,53190,56470,54530,53150,50610,50870,46320,46350,48400,50810,49810,50420,60710,37020,34910,33630,Australia
1102,Norfolk Island(g),30,30,40,40,30,30,30,30,40,30,20,70,80,10,10,0,0,0,10,Australia
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1201,New Zealand,32030,32770,36300,42070,38090,31580,43430,48220,41500,28440,23300,24220,22660,21270,20960,15640,12000,16280,27510,Australia
1301,New Caledonia,200,150,160,190,190,220,170,130,130,110,150,130,160,120,130,100,40,100,120,Australia
1302,PNG,1370,1620,1610,1820,1710,1550,1560,1640,1580,1270,1240,1490,1320,1140,1220,1400,350,1320,2220,Australia
1303,Solomon Islands,280,190,190,200,190,170,220,220,230,150,180,170,170,200,190,400,1070,2310,1660,Australia
1304,Vanuatu,100,120,90,100,100,140,110,130,140,80,80,110,110,110,300,2580,2810,2630,2750,Australia
1401,Guam,0,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,10,10,Australia
1402,Kiribati,80,70,70,70,80,80,40,50,50,40,40,40,70,120,90,180,220,240,690,Australia
1403,Marshall Is,0,10,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,Australia
1404,"Micronesia, F S",20,10,10,10,0,10,0,10,10,10,10,0,0,0,0,0,0,0,0,Australia
1405,Nauru,50,100,120,50,40,30,20,30,40,30,50,40,40,40,100,90,10,70,140,Australia
1406,N Mariana Is,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,Australia
1407,Palau,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,Australia
1501,Cook Islands,410,430,410,490,510,400,500,600,600,480,390,410,320,250,320,280,140,170,340,Australia
1502,Fiji,2380,2640,2630,3030,3000,2740,2560,2600,2560,2440,2160,2150,2370,2390,3160,3090,1350,4180,8550,Australia
1503,French Poly,50,50,50,60,60,60,60,60,70,40,40,50,50,50,50,40,0,30,50,Australia
1504,Niue,70,60,60,90,70,80,60,60,70,50,40,50,40,40,30,30,30,30,40,Australia
1505,Samoa,1430,1410,1280,1410,1700,1460,2020,2590,3220,2450,2210,2440,2580,2300,2190,2280,1690,3470,3040,Australia
1506,Samoa American,30,30,30,40,30,40,40,60,90,50,50,60,60,50,60,30,20,20,40,Australia
