SACC code,Country of birth,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Territory
1101,Australia,65960,64890,65710,68410,58750,58140,61290,58590,60710,65710,69350,69770,66690,65310,62770,42640,29550,49450,65330,Australia
1102,Norfolk Island(g),10,10,10,20,10,20,20,10,10,20,20,30,10,0,0,0,0,0,0,Australia
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1201,New Zealand,15160,14680,14200,14340,14940,15810,14390,13690,16770,21200,22370,22740,20820,18270,17630,16010,14150,10940,12160,Australia
1301,New Caledonia,140,120,100,120,100,110,150,90,100,100,80,90,110,130,120,90,50,60,90,Australia
1302,PNG,850,900,850,840,930,920,800,820,780,730,810,810,800,870,910,770,530,510,480,Australia
1303,Solomon Islands,140,120,130,130,100,140,120,130,120,100,90,90,90,130,150,100,80,70,310,Australia
1304,Vanuatu,110,90,70,80,100,70,100,60,50,60,80,80,60,100,70,140,520,330,2110,Australia
1401,Guam,10,10,0,10,10,10,0,0,0,10,10,10,10,10,0,0,0,0,10,Australia
1402,Kiribati,80,70,60,40,30,20,40,40,30,30,30,40,30,50,40,80,40,60,170,Australia
1403,Marshall Is,0,10,10,0,10,0,0,0,0,0,0,0,10,10,10,0,0,0,0,Australia
1404,"Micronesia, F S",10,10,10,10,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,Australia
1405,Nauru,50,40,80,40,20,30,20,20,10,40,20,20,30,50,30,40,30,40,50,Australia
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,Australia
1407,Palau,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,Australia
1501,Cook Islands,190,170,160,200,140,140,150,180,170,200,230,270,280,240,240,240,140,150,220,Australia
1502,Fiji,1270,980,780,750,680,690,750,690,720,760,880,890,900,990,920,880,540,760,870,Australia
1503,French Poly,40,40,20,30,50,20,40,50,40,40,50,30,40,30,50,30,30,20,30,Australia
1504,Niue,30,20,20,20,20,20,20,20,10,20,20,30,30,30,20,20,30,20,20,Australia
1505,Samoa,570,560,540,510,470,540,490,430,480,560,690,800,780,900,930,950,700,730,1700,Australia
1506,Samoa American,20,20,20,20,10,10,10,20,20,20,30,30,30,30,30,10,20,20,20,Australia
1507,Tokelau,20,10,30,30,30,30,30,20,30,50,40,40,50,30,30,40,20,10,30,Australia
1508,Tonga,290,250,220,220,200,200,240,220,200,250,290,360,320,390,360,360,420,390,1200,Australia
1511,Tuvalu,10,20,20,10,10,20,20,10,10,20,20,20,10,10,20,20,30,10,20,Australia
1512,Wallis/Futuna,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,Australia
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2100,"UK, CIs & IOM",17400,17840,16930,19920,18880,21240,20920,19180,21230,24930,24520,23640,22620,21920,21860,17000,10810,15100,12840,Australia
2201,Ireland,2520,2520,2710,2980,2990,3870,3610,3120,4910,7770,7220,5990,4660,4040,4010,3360,2180,3430,2230,Australia
2301,Austria,350,370,320,350,350,330,380,270,250,260,240,250,260,250,230,220,160,200,190,Australia
