SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(e)
1101,Australia,6620,6580,6530,6700,5780,5820,6320,6180,6490,7490,7580,8090,7910,7010,6450,4280,2750,4600,6700
1102,Norfolk Island(f),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,1370,1420,1490,1560,1830,2090,1820,2030,3070,4230,4730,4960,4430,3180,2760,2280,1850,1380,1640
1301,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
1302,PNG,30,30,40,40,90,70,50,50,70,50,60,60,50,50,40,30,40,40,30
1303,Solomon Islands,0,0,0,0,0,0,0,0,10,10,0,10,10,10,0,10,0,0,10
1304,Vanuatu,10,0,0,0,0,0,0,10,0,0,0,10,10,0,0,10,10,30,170
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,10,0,0,0,0,0,0,10,10,10,20,30,30,10,30,20,10,10,10
1502,Fiji,20,20,20,20,20,10,30,20,30,40,40,30,50,40,30,50,20,30,40
1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
1505,Samoa,10,10,10,10,10,10,10,10,20,40,30,40,40,30,30,40,30,20,50
1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,Tonga,10,0,0,10,10,10,10,10,10,10,20,30,30,20,20,20,20,30,90
1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
